timestamp_utc,x_m,y_m,quality
2026-02-24 19:36:29.698,0.000000,0.000000,GOOD
2026-02-24 19:36:29.945,0.000000,0.000000,GOOD
2026-02-24 19:36:30.191,0.000000,0.000000,GOOD
2026-02-24 19:36:30.436,0.000000,0.000000,GOOD
2026-02-24 19:36:30.704,0.000000,0.000000,GOOD
2026-02-24 19:36:30.950,0.000000,0.000000,GOOD
2026-02-24 19:36:31.195,0.000000,0.000000,GOOD
2026-02-24 19:36:31.441,0.000000,0.000000,GOOD
2026-02-24 19:36:31.686,0.000000,0.000000,GOOD
2026-02-24 19:36:31.931,0.000000,0.000000,GOOD
2026-02-24 19:36:32.177,0.000000,0.000000,GOOD
2026-02-24 19:36:32.423,0.000000,0.000000,GOOD
2026-02-24 19:36:32.670,0.000000,0.000000,GOOD
2026-02-24 19:36:32.917,0.000000,0.000000,GOOD
2026-02-24 19:36:33.162,0.000000,0.000000,GOOD
2026-02-24 19:36:33.407,0.000000,0.000000,GOOD
2026-02-24 19:36:33.653,0.000000,0.000000,GOOD
2026-02-24 19:36:33.928,0.000000,0.000000,GOOD
2026-02-24 19:36:34.173,0.000000,0.000000,GOOD
2026-02-24 19:36:34.419,0.000000,0.000000,GOOD
2026-02-24 19:36:34.665,0.000000,0.000000,GOOD
2026-02-24 19:36:34.967,0.000000,0.000000,GOOD
2026-02-24 19:36:35.212,0.000000,0.000000,GOOD
2026-02-24 19:36:35.458,0.000000,0.000000,GOOD
2026-02-24 19:36:35.704,0.000000,0.000000,GOOD
2026-02-24 19:36:35.950,0.000000,0.000000,GOOD
2026-02-24 19:36:36.195,0.000000,0.000000,GOOD
2026-02-24 19:36:36.441,0.000000,0.000000,GOOD
2026-02-24 19:36:36.686,0.000000,0.000000,GOOD
2026-02-24 19:36:36.932,0.000000,0.000000,GOOD
2026-02-24 19:36:37.177,0.000000,0.000000,GOOD
2026-02-24 19:36:37.423,0.000000,0.000000,GOOD
2026-02-24 19:36:37.669,0.000000,0.000000,GOOD
2026-02-24 19:36:37.915,0.000000,0.000000,GOOD
2026-02-24 19:36:38.165,0.000000,0.000000,GOOD
2026-02-24 19:36:38.411,0.000000,0.000000,GOOD
2026-02-24 19:36:38.656,0.000000,0.000000,GOOD
2026-02-24 19:36:38.902,0.000000,0.000000,GOOD
2026-02-24 19:36:39.186,0.000000,0.000000,GOOD
2026-02-24 19:36:39.440,0.000000,0.000000,GOOD
2026-02-24 19:36:39.686,0.000000,0.000000,GOOD
2026-02-24 19:36:39.932,0.000000,0.000000,GOOD
2026-02-24 19:36:40.200,0.000000,0.000000,GOOD
2026-02-24 19:36:40.448,0.000000,0.000000,GOOD
2026-02-24 19:36:40.694,0.000000,0.000000,GOOD
2026-02-24 19:36:40.939,0.000000,0.000000,GOOD
2026-02-24 19:36:41.185,0.000000,0.000000,GOOD
2026-02-24 19:36:41.431,0.000000,0.000000,GOOD
2026-02-24 19:36:41.677,0.000000,0.000000,GOOD
2026-02-24 19:36:41.923,0.000000,0.000000,GOOD
2026-02-24 19:36:42.169,0.000000,0.000000,GOOD
2026-02-24 19:36:42.419,0.000000,0.000000,GOOD
2026-02-24 19:36:42.664,0.000000,0.000000,GOOD
2026-02-24 19:36:42.909,0.000000,0.000000,GOOD
2026-02-24 19:36:43.155,0.000000,0.000000,GOOD
2026-02-24 19:36:43.430,0.000000,0.000000,GOOD
2026-02-24 19:36:43.677,0.000000,0.000000,GOOD
